HandlungskompetenzId;Titel;Module Berufsfachschule;Module ÜK;Leistungsziele;Beschreibung;Fachrichtung
d4;ICT-Lösungen in Betrieb nehmen;122;216, 217, 210, 109;"d4.1: Sie beantragen die erforderlichen Zugriffsrechte wie auch Berechtigungen für eine Inbe-triebnahme. (K3)
d4.2: Sie koordinieren Anpassungen an den Umsystemen. (K4)
d4.3: Sie führen Deployment-Scripts für die Inbetriebnahme aus. (K3)
d4.4: Sie führen einen Software Rollout durch. (K3)
d4.5: Sie koordinieren einen Hardware Rollout mit den betroffenen Stakeholdern. (K4)
d4.6: Sie informieren Auftraggeber regelmässig über den Fortschritt einer Inbetriebnahme. (K3)
d4.7: Sie testen eine in Betrieb genommene ICT-Lösung auf Funktionalität und Sicherheit. (K4)";"nformatikerinnen und Informatiker nehmen ICT-Lösungen gemäss Anforderungen in Betrieb. Damit stellen sie eine erfolgreiche Übergabe an den Auftraggeber sicher:
Je nach Projekt beantragen sie die erforderlichen Zugriffsrechte wie auch Berechtigungen für die Inbetriebnahme. Falls notwendig koordinieren sie die Anpassungen an den Umsys-temen. Danach führen sie die Inbetriebnahme durch (z.B. Ausführung von Deployment-Scripts, Rollout). Sie sind in regelmässigem Austausch mit den Stakeholdern und informieren diese über den Fortschritt der Inbetriebnahme. Sie testen die entsprechende Lösung gemäss Testkonzept (d2). Schliesslich überprüfen sie die Lösung auf Sicherheitsrisiken.
Die umgesetzte ICT-Lösung übergeben sie dem Auftraggeber. Bei Bedarf führen sie eine Schulung durch oder erstellen eine Dokumentation (vgl. a7).";plattform
e1;Netze planen und dokumentieren;117, 129, 346;185, 216, 109, 184;"e1.1: Sie erarbeiten zuhanden von Stakeholdern einen Lösungsvorschlag für ein Netz unter Be-rücksichtigung von betrieblichen Gegebenheiten, technischen Standards und rechtlichen Vor-gaben. (K5)
e1.2: Sie schätzen die Ausfallswahrscheinlichkeit eines neuen oder bestehenden Netzes ein und planen bei Bedarf Redundanzen ein. (K4)
e1.3: Sie konzipieren eine Netzinfrastruktur (LAN) unter Berücksichtigung der räumlichen Ver-hältnisse und weiterer Vorgaben. (K5)
e1.4: Sie konzipieren physische und systemische Sicherheitsmassnahmen im lokalen Netz. (K5)
e1.5: Sie dokumentieren eine physische und logische Netzstruktur systematisch und vollstän-dig. (K3)
e1.6: Sie wählen einen geeigneten Internetdienstanbieter (ISP) gemäss vorgegebenen Anfor-derungen aus. (K4)
e1.7: Sie erstellen ein Testkonzept zur Überprüfung der Funktionalität, Performance und Sicher-heit des Netzes. (K5)";"Informatikerinnen und Informatiker planen bestehende oder neue IP-Netze für unterschiedlichste Auftraggeber (Kleinstbetrieb bis Grossunternehmen) und führen die nötigen Doku-mentationen nach. Damit schaffen sie nachvollziehbare Grundlagen für den Aufbau und Betrieb der Netze:
Zunächst nehmen sie bei relevanten Stakeholdern (z.B. Auftraggeber, interne Abteilung, Hersteller) die Anforderungen auf (z.B. Verfügbarkeit, Sicherheit) (vgl. a1). Aufgrund der Anforderungen leiten sie einen ersten Vorschlag oder Lösungsvarianten ab. Sie berücksichtigen dabei je nach Situation betriebliche Gegebenheiten, technische Standards oder rechtliche Vorgaben. Sie halten den Vorschlag schriftlich fest.
In einem nächsten Schritt nehmen sie das Detaildesign vor: Sie konzipieren die geeignete Netzinfrastruktur (LAN) unter Berücksichtigung der räumlichen Verhältnisse und Vorgaben (z.B. Bandbreite, Übertragungsmedien, erforderlichen Dienst-Verfügbarkeit und Sicherheit). Die physische und logische Netzstruktur dokumentieren sie systematisch und achten darauf, dass sie alle relevanten Angaben erfasst haben.
Weiter evaluieren sie mögliche Internetdienstanbieter (ISP) gemäss den Netzanforderungen, wählen einen Anbieter aus und halten die Angaben inkl. Kostenvarianten im Konzept fest.
Schliesslich erstellen sie eine Testkonzept zur Überprüfung der Funktionalität, Performance und Sicherheit des Netzes.";plattform
e2;Netzkomponenten auswählen und in Betrieb nehmen;117, 129, 145;190, 216, 109;"e2.1: Sie bestimmen geeignete Netzkomponenten unter Berücksichtigung der Anforderungen und der Budgetvorgaben. (K4)
e2.2: Sie erstellen eine vollständige Materialliste gemäss internem Bestellprozess. (K3)
e2.3: Sie überprüfen Netzkomponenten beim Wareneingang auf Vollständigkeit. (K4)
e2.4: Sie erstellen ein nachvollziehbares Konfigurationskonzept. (K5)
e2.5: Sie nehmen bei Netzkomponenten Vorkonfigurationen und Upgrades vor. (K3)
e2.6: Sie installieren Netzkomponenten vor Ort und nehmen die Endkonfiguration vor. (K3)
e2.7: Sie testen installierte Netzkomponenten auf Funktionsfähigkeit. (K3)
e2.8: Sie erläutern einem Kunden die Funktionsweise eines Netzes in einfachen Worten. (K3)";"Auf der Grundlage der erfolgten Netzplanung (e1) wählen Informatikerinnen und Informatiker geeignete Netzkomponenten aus und nehmen diese in Betrieb:
Zunächst führen sie eine Recherche durch und bestimmen die geeigneten Netzkomponenten. Sie erstellen eine Materialliste gemäss internem Bestellprozess und den Budgetvor-gaben. Die bestellten Netzkomponenten überprüfen sie beim Eingang auf Vollständigkeit.
In der Regel erstellen sie ein Konzept für die Konfiguration. In einem nächsten Schritt nehmen sie die Netzkomponenten in Betrieb. Häufig setzen sie die Netzkomponenten zunächst firmenintern auf, nehmen Vorkonfigurationen und Upgrades vor und führen eine erste Funktionskontrolle durch. Anschliessend installieren sie die Netzkomponenten vor Ort beim Kunden. Sie führen eine Endkonfiguration durch und testen die Funktionsfähigkeit des Netzes gemäss dem erstellten Konzept.
Je nach Situation übergeben sie das installierte Netz dem Kunden, informieren diesen und führen ihn bei Bedarf ein.";plattform
e3;Netze warten und weiterentwickeln;129, 145;184, 216, 217, 109;"e3.1: Sie überprüfen Netzkomponenten durch Sichtkontrollen und definieren bei Bedarf War-tungsmassnahmen. (K3)
e3.2: Sie führen eine Log-Überprüfung von Netzkomponenten durch. (K4)
e3.3: Sie definieren kurzfristige und langfristige Massnahmen für die Weiterentwicklung von Komponenten ab. (K4)
e3.4: Sie führen Updates und Upgrades von Komponenten gemäss bestehendem Betriebskon-zept und Herstellervorgaben durch. (K3)
e3.5: Sie dokumentieren ausgeführte Wartungsarbeiten sorgfältig. (K3)
e3.6: Sie informieren einen Stakeholder über den Life Cycle von Geräten sowie über aktuelle Standards in Bezug auf Energie und Ökologie. (K3)
e3.7: Sie schätzen den Zeitpunkt für Ersatzanschaffungen von Geräten ab. (K3)";"Informatikerinnen und Informatiker warten Netze im Rahmen von Wartungsaufträgen und entwickeln die Netze bei Bedarf weiter (Continuous Service Improvement):
In den definierten Wartungsintervallen führen sie vor Ort Sichtkontrollen der Netzkomponenten durch. Auf dieser Grundlage entscheiden sie, ob Massnahmen notwendig sind (z.B. Entstauben). Weiter führen sie die Log-Überprüfung der Komponenten durch (z.B. Temperaturschwankungen, Durchflussraten, Performanceraten, Auslastungen, Fehlermeldun-gen). Bei Bedarf treffen sie Massnahmen für die kurzfristige oder langfristige Weiterentwicklung (z.B. zusätzliche Komponente, Umkonzipierung des Netzes, Konfiguration anpassen, Patches und Upgrades).
Sie führen nötige Updates und Upgrades der Komponenten sowie allfällige weitere Wartungsarbeiten (z.B. Firmware Update) durch. Die ausgeführten Wartungsarbeiten und Emp-fehlungen dokumentieren sie sorgfältig. Bei Bedarf klären sie grössere Massnahmen mit Vorgesetzten und Auftraggebern ab. Dabei sind sie sich des Life Cycles von Netzwerkkom-ponenten bewusst und können darüber informieren, wann diese voraussichtlich ersetzt werden müssen. Sie berücksichtigen ausserdem ökologische Kriterien, wie z.B. Energie Labels oder Nachhaltigkeit. Bei allen Wartungsarbeiten achten sie auf einen sorgfältigen Umgang mit den Geräten und treffen Massnahmen, um diese vor elektrostatischen Entla-dungen zu schützen.";plattform
e4;Sicherheit von Netzen implementieren, dokumentieren und überprüfen;117, 129, 145, 231;184, 185, 216, 217, 109;"e4.1: Sie analysieren und bewerten Sicherheitsrisiken eines Netzes anhand von aktuellen und betriebsspezifischen Tools. (K4)
e4.2: Sie implementieren sicherheitsrelevante Dienste und Komponenten. (K3)
e4.3: Sie testen implementierte Sicherheitsmassnahmen systematisch und gemäss Testkon-zept. (K3)
e4.4: Sie dokumentieren die Funktionalität von implementierten Sicherheitsmassnahmen. (K3)";"Informatikerinnen und Informatiker implementieren, dokumentieren und überprüfen die Sicherheit von Netzen. Damit stellen sie sicher, dass kritische Systeme bedarfsgerecht vor Angriffen oder Schädlingsbefall geschützt werden:
Zunächst analysieren sie mögliche Sicherheitsrisiken eines Netzes und bewerten diese. Dazu verwenden sie aktuelle und betriebsspezifische Tools (z.B. Portscanner). Auf dieser Grundlage konzipieren sie physische und systemische Sicherheitsmassnahmen im lokalen Netz (e1).
Sie setzen die geplanten Sicherheitsmassnahmen um, indem sie sicherheitsrelevante Dienste und Komponenten implementieren (z.B. Firewall, VPN, NAT, VLAN, DMZ). Anschliessend testen sie die Sicherheitsmassnahmen systematisch und dokumentieren deren Funktionalität.";plattform
e5;Leistungsfähigkeit eines Netzes analysieren, optimieren und dokumentieren;129;216, 217, 109;"e5.1: Sie analysieren mögliche Ursachen im Falle einer eingeschränkten Leistungsfähigkeit des Netzes. (K4)
e5.2: Sie analysieren die Auslastung eines Netzes und legen unter Berücksichtigung möglicher Auswirkungen geeignete Optimierungsmassnahmen fest. (K4)
e5.3: Sie dokumentieren Optimierungsmassnahmen nachvollziehbar. (K3)
e5.4: Sie passen die Konfiguration von Netzkomponenten gemäss den getroffenen Optimie-rungsmassnahmen an. (K3)
e5.5: Sie testen die Funktionsfähigkeit eines Netzes. (K4)";"Informatikerinnen und Informatiker analysieren, optimieren und dokumentieren die Leistungsfähigkeit eines Netzes. Dies geschieht typischerweise im laufenden Betrieb, in regelmäs-sigen Zyklen oder wenn Probleme gemeldet werden (z.B. Monitoring, Usermeldungen):
Nach der Kontaktaufnahme und Problemschilderung (z.B. Start einer Applikation ist langsam) durch einen Stakeholder klären sie zunächst mögliche Ursachen ab. Sie analysieren die Netzauslastung (LAN) und legen anschliessend Lösungsvarianten fest (z.B. Loadbalancing, QoS, PoE). Sie berücksichtigen dabei verschiedene Faktoren, wie z.B. die Auswirkung der Verkabelung auf die Leistungsfähigkeit. Sie dokumentieren die gewählte Lösung und passen die Konfiguration der entsprechenden Komponenten (z.B. Switch, Router, Access Point) an.
Sie testen abschliessend die Funktionsfähigkeit des Netzes. Falls erforderlich, schlagen sie dem Stakeholder eine Auswechslung oder Erweiterung der Komponenten vor (→e1).";plattform
e6;Netze überwachen;129, 145;184, 216, 217, 109;"e6.1: Sie überwachen Netze mit den vorgegebenen Monitoring-Tools kontinuierlich und zuver-lässig. (K4)
e6.2: Sie überprüfen Verfügbarkeit und Funktionsfähigkeit von Netzkomponenten sowie die Auslastung des Netzes. (K4)
e6.3: Sie priorisieren Meldungen und Alarmierungen nach Dringlichkeit und legen geeignete Massnahmen fest. (K4)
e6.4: Sie lokalisieren und identifizieren Fehler auf Ebene der Netzkomponenten durch eine strukturierte Vorgehensweise. (K4)
e6.5. Sie organisieren die Fehlerbehebung im Team oder mit externen Partnern. (K3)";"Informatikerinnen und Informatiker überwachen Netze kontinuierlich. Damit gewährleisten sie einen lückenlosen Netzbetrieb und erkennen Probleme, Störungen und Verbesserungs-möglichkeiten frühzeitig:
Anhand verschiedener Monitoring-Tools überwachen sie Netze kontinuierlich, entweder für ihr Unternehmen oder für Kunden im Rahmen einer Dienstleistungsvereinbarung (SLA). Sie kontrollieren insbesondere Verfügbarkeit und Funktionsfähigkeit der Netzkomponenten. Ausserdem überwachen sie die Auslastung des Netzes (z.B. Performance von Kompo-nenten und Übertragungsstrecken). Sie schätzen die Dringlichkeit von eingehenden Meldungen/Alarmierungen ab und treffen zum richtigen Zeitpunkt geeignete Massnahmen (Trouble Shooting). Sie grenzen den Fehler auf Ebene der Komponenten ein. Sie gehen strukturiert und hartnäckig vor, bis der Fehler identifiziert werden kann. Schliesslich organi-sieren sie die Fehlerbehebung im Team oder mit externen Partnern.";plattform
f1;Serversysteme und -dienste planen und dokumentieren;123, 141,143,157,159,169,300,346;187,190,210,109,217;"f1.1: Sie erarbeiten zuhanden von Stakeholdern Lösungsvorschläge für Serverdienste und Ser-versysteme unter Berücksichtigung von betrieblichen Gegebenheiten, technischen Standards, rechtlichen Vorgaben sowie des IT-Grundschutzes. (K5)
f1.2: Sie klären Fragen von Stakeholdern in Bezug auf Lösungsvorschläge verständlich und hin-terfragen Anforderungen kritisch. (K3)
f1.3: Sie halten Lösungsvarianten mit allen Anforderungen schriftlich fest. (K3)
f1.4: Sie bestimmen geeignete Plattformen und Leistungsparameter anhand von messbaren Be-wertungskriterien. (K4)
f1.5: Sie wählen geeignete Hard- und Software vorausschauend und unter Berücksichtigung der Rahmenbedingungen. (K4)
f1.6: Sie definieren geeignete Dienste mit den benötigten Ressourcen unter Berücksichtigung relevanter Abhängigkeiten und Auswirkungen. (K4)
f1.7: Sie erstellen ein Testkonzept zur Überprüfung der Funktionalität, Performance und Sicher-heit von Systemen und Diensten. (K3)";"nformatikerinnen und Informatiker planen Serversysteme und Serverdienste für unterschiedlichste Auftraggeber (Kleinstbetrieb bis Grossunternehmen) und führen die nötigen Doku-mentationen nach. Damit schaffen sie nachvollziehbare Grundlagen für den Aufbau und Betrieb der Systeme und Dienste:
Zunächst nehmen sie bei relevanten Stakeholdern (z.B. Auftraggeber, interne Abteilung, Hersteller) die Anforderungen an benötigte Funktionen, sowie das vorgesehene Budget auf (→a1). Aufgrund der Anforderungen leiten sie einen ersten Vorschlag oder Lösungsvarianten für mögliche Serversysteme und/oder Serverdienste (z.B. Webdienste, Datenbanken, Datenspeicherdienste, Data Analytics) ab. Sie berücksichtigen dabei je nach Situation betriebliche Gegebenheiten, technische Standards, rechtliche Vorgaben sowie den IT-Grund-schutz. Sie beraten die Stakeholder, klären deren Fragen und hinterfragen Anforderungen kritisch. Sie halten die Lösungsvarianten mit den Anforderungen schriftlich fest.
In einem nächsten Schritt bestimmen sie die geeignete Plattform (z.B. inhouse VM, Cloud, Hybridsystem, Container) sowie die dazugehörenden Leistungsparameter (z.B. OS, CPU, Memory, Storage, Networking). Sie wenden dazu messbare Bewertungskriterien an. Wenn nötig wählen sie geeignete Hard- und Software aus. Sie denken dabei vorausschauend und beachten die Rahmenbedingungen, wie z.B. die Vorgabe eines Herstellers, Einsatz- und Einbaumöglichkeiten oder die Stromversorgung und die Energieeffizienz.
Weiter definieren sie die erforderlichen Dienste und legen die benötigten Ressourcen (z.B. Serverressourcen, Cloud Services, Lizenzen, Berechtigungen, SSO) fest. Dabei berücksich-tigen sie relevante Abhängigkeiten, wie z.B. clientseitige Kompatibilitäten (Browser, Ciphers). Sie nehmen eine gesamtheitliche Perspektive ein und bedenken mögliche Auswirkungen.
Schliesslich erstellen sie ein Testkonzept, um bei der Inbetriebnahme Funktionalität, Performance und Sicherheit der Systeme und Dienste zu prüfen.";plattform
f2;Serversysteme in Betrieb nehmen;157;187, 190, 109, 217;"f2.1: Sie beschaffen gewählte Komponenten und Ressourcen für ein Serversystem gemäss be-trieblichen Prozessen. (K3)
f2.2: Sie installieren Komponenten und Services gemäss definierter Planung sowie internen An-forderungen, Richtlinien und Best Practices und konfigurieren diese. (K3)
f2.3: Sie überprüfen die Funktionalität eines Serversystems mittels geeigneter Tests. (K4)
f2.4: Sie überführen ein Serversystem in den Produktivbetrieb. (K3)";"Informatikerinnen und Informatiker nehmen geplante Serversysteme in Betrieb (unter Serversystemen werden Hardware, virtuelle Maschinen oder Container verstanden, welche ent-weder inhouse oder cloudbasiert sind):
Liegt der definitive Umsetzungsentscheid für ein Serversystem vor, beschaffen sie die benötigten Komponenten und/oder Ressourcen (z.B. Personell, Material, Infrastruktur, Lizenzen, Cloud Services).
Schliesslich nehmen sie die Komponenten und/oder Services in Betrieb, indem sie diese aufsetzen und konfigurieren. Sie gehen dabei gemäss der definierten Planung vor und berück-sichtigen interne Anforderungen, Richtlinien und Best Practices. Sie prüfen das Serversystem mit den geplanten Tests (→f1) und überführen dieses in den Produktivbetrieb.";plattform
f3;Serverdienste in Betrieb nehmen;123,141,159,169, 300, 346;109, 217;"f3.1: Sie beschaffen gewählte Ressourcen für einen Serverdienst gemäss betrieblichen Prozes-sen. (K3)
f3.2: Sie installieren und konfigurieren einen Serverdienst unter Berücksichtigung der Anforde-rungen, Richtlinien, gesetzlichen Vorgaben und Best Practices in Betrieb. (K3)
f3.3: Sie überprüfen die Funktionalität eines Serverdienstes mittels geeigneter Tests. (K4)
f3.4: Sie überführen einen Serverdienst in den Produktivbetrieb. (K3)
f3.5: Sie führen das Betriebshandbuch nach und übergeben es dem Auftraggeber. (K3)";"Informatikerinnen und Informatiker nehmen geplante Serverdienste in Betrieb (zu Serverdiensten zählen z.B. DNS, Webserver, Datenbank, JRE, Kollaborationsplattform, IoT Gateway, Messenging Bus, Big Data Analytics):
Liegt der definitive Umsetzungsentscheid für einen Serverdienst vor, beschaffen sie die benötigten Ressourcen (z.B. Personell, Lizenzen, Cloud Services).
In einem nächsten Schritt nehmen sie die Services in Betrieb, indem sie diese gemäss den Anforderungen installieren und konfigurieren. Sie gehen dabei gemäss der definierten Planung vor und berücksichtigen interne Anforderungen, Richtlinien und Best Practices. Sie prüfen den Service mit den geplanten Tests und überführen diesen in den Produktivbetrieb. Schliesslich führen sie das Betriebshandbuch nach und übergeben es dem Auftraggeber.";plattform
f4;Serversysteme und -dienste warten und verwalten;182, 159, 169, 300, 346;187, 190, 109, 217;"f4.1: Sie definieren Wartungsaufgaben und Wartungszyklen für Serversysteme und Server-dienste. (K4)
f4.2: Sie führen Wartungsaufgaben gemäss Vorgaben zuverlässig durch. (K3)
f4.3: Sie dokumentieren ausgeführte Wartungsaufgaben nachvollziehbar. (K3)
f4.4: Sie testen Updates und spielen diese in die Produktivumgebung ein. (K3)
f4.5: Sie testen Funktionalität, Performance und Sicherheit von Systemen und Diensten syste-matisch. (K3)
f4.6: Sie dokumentieren Eingriffe und Anpassungen an Systemen und Diensten nachvollziehbar und halten sich an die Schweigepflicht. (K3)";"Informatikerinnen und Informatiker warten Serversysteme und Serverdienste und verwalten diese. Damit stellen sie einen kontinuierlichen produktiven Betrieb sicher:
Je nach Anforderungen des Systems oder des Dienstes definieren sie zunächst die Wartungsaufgaben und deren Wartungszyklus (täglich / wöchentlich / monatlich / bei bestimmten Ereignissen, gemäss SLA). Sie führen die Wartungsaufgaben zu den definierten Zeitpunkten zuverlässig durch und dokumentieren diese. Werden Updates benötigt (z.B. Upgrades, Patches, Firmware) testen sie diese und spielen sie in der Produktivumgebung ein.
Weiter testen sie Funktionalität, Performance und Sicherheit von Systemen und Diensten in regelmässigen Zyklen. Werden Änderungen an den Systemen vorgenommen, dokumen-tieren sie diese übersichtlich. Sie gehen diszipliniert vor und achten darauf, dass Eingriffe auf Systemen und Diensten jederzeit nachvollziehbar sind. Ausserdem sind sie sich ihrer Schweigepflicht bewusst und gehen mit Daten vertrauensvoll und sorgfältig um.";plattform
f5;Serversysteme und -dienste überwachen;182,123,346;188, 190, 109;"f5.1: Sie definieren in Absprache mit Stakeholdern zu überwachende Serversysteme und Server-dienste. (K3)
f5.2: Sie bestimmen geeignete Überwachungsmethoden. (K4)
f5.3: Sie legen unter Einschätzung der Risiken sinnvolle Schwellenwerte sowie entsprechende Aktionen fest. (K4)
f5.4: Sie überprüfen regelmässig mittels Tests die Funktionalität eines Überwachungssystems und dokumentieren die Ergebnisse. (K4)
f5.5: Sie ergreifen bei Fehler- oder Alarmmeldungen rasch geeignete Massnahmen. (K4)";"Informatikerinnen und Informatiker überwachen Serversysteme und Serverdienste. Damit erkennen sie Probleme frühzeitig und können Ausfallrisiken minimieren:
Mit den jeweiligen Stakeholdern definieren sie zunächst, welche Serversysteme und Serverdienste überwacht werden sollen. Anschliessend bestimmen sie geeignete Überwachungs-methoden (Script, Software, Benachrichtigungen etc.). Weiter legen sie Schwellenwerte und Aktionen fest, welche bei Über-/Unterschreitung der Schwellenwerte durchgeführt wer-den sollen. Dabei schätzen sie die jeweiligen Risiken aufgrund ihrer Erfahrungen sowie entsprechend den Anforderungen des Auftraggebers oder den Dienstleistungsvereinbarungen (SLA) ab.
Ist die Überwachung in Betrieb, überprüfen sie mit periodischen Tests, ob das Überwachungssystem zuverlässig funktioniert. Die Ergebnisse dokumentieren sie nachvollziehbar. Bei Fehlermeldungen oder Alarmmeldungen handeln sie rasch und ergreifen entsprechende Massnahmen.";plattform
f6;Sicherheit von Serversystemen und -diensten implementieren, dokumentieren und überprüfen;182, 141, 143, 169, 346, 231;188, 190, 109;"f6.1: Sie erstellen im Team und gemäss Best Practices ein Sicherheitskonzept für Serversysteme und Serverdienste. (K5)
f6.2: Sie konfigurieren Sicherheitselemente effektiv. (K3)
f6.3: Sie testen Sicherheitssysteme in regelmässigen Abständen und dokumentieren die Ergeb-nisse nachvollziehbar. (K4)
f6.4: Sie überprüfen Sicherheitskonzepte auf Aktualität und passen diese bei Bedarf an techno-logische Entwicklungen an. (K4)";"Informatikerinnen und Informatiker implementieren, dokumentieren und überprüfen die Sicherheit von Serversystemen und Serverdiensten:
Zunächst erstellen sie gemäss den Anforderungen der Stakeholder ein Sicherheitskonzept. Dieses beschreibt mögliche Risiken sowie geeignete Sicherheitssysteme/-methoden für den IT-Grundschutz (z.B. Firewall, Antiviren Software, Berechtigungen, SSO). Sie arbeiten dabei im Team und ziehen bei Bedarf Partner bei. Sie beachten Best Practices der eingesetzten Lösungen.
Sie konfigurieren die definierten Sicherheitselemente und testen anschliessend deren Wirksamkeit. Im laufenden Betrieb führen sie in regelmässigen Zyklen Sicherheitstests durch. Die Ergebnisse dokumentieren sie nachvollziehbar. Sie informieren sich regelmässig über technologische Entwicklungen von Sicherheitssystemen (z.B. MELANI, CVE) und passen ihre Sicherheitskonzepte entsprechend an.";plattform
f7;Verfügbarkeit von Serversystemen und -diensten planen und umsetzen;141,143,169,346;190, 109;"f7.1: Sie eruieren im Gespräch mit Stakeholdern den verkraftbaren Datenverlust (RPO), den ver-kraftbaren Ausfall von Systemen und Diensten (RTO) sowie Datenvorhaltefristen und dokumen-tieren die Ergebnisse. (K3)
f7.2: Sie überprüfen aktuelle Systeme und Dienste auf Einhaltung der festgelegten Verfügbarkei-ten. (K4)
f7.3: Sie konzipieren Lösungen/ Optimierungsmassnahmen, um festgelegte Verfügbarkeiten zu gewährleisten. (K5)
f7.4: Sie erläutern Stakeholdern erarbeitete Lösungen /Optimierungsmassnahmen verständlich und nachvollziehbar entsprechend der Wirtschaftlichkeit. (K3)
f7.5: Sie setzen geplante Lösungen und/oder Optimierungen in der Umgebung um. (K3)";"Informatikerinnen und Informatiker planen die Verfügbarkeit von Serversystemen und Serverdiensten. Sie setzen Massnahmen um, um die Vorgaben zu Datenverlusten und Ausfallzei-ten einzuhalten:
Im Gespräch mit ihren Stakeholdern eruieren sie den verkraftbaren Datenverlust (Recovery Point Objective), den verkraftbaren Ausfall von Serversystemen und Serverdiensten (Recovery Time Objective) sowie Datenvorhaltefristen (Backup Retention). Sie halten die Ergebnisse in Form einer Dokumentation schriftlich fest.
In einem nächsten Schritt überprüfen sie die aktuellen Systeme und Dienste anhand der Beschaffenheit oder Dienstleistungsvereinbarungen (SLA) und halten fest, wo die Verfügbar-keit noch nicht gewährleistet ist. Sie entscheiden über eventuelle Anpassungen und definieren mögliche Lösungen/Optimierungen. Besonders gefragt sind hierbei ihre Analyse- und Konzeptionsfähigkeit. Die Optimierungsmassnahmen besprechen sie mit den Stakeholdern und holen deren Einwilligung zur Freigabe ein.
Schliesslich setzen sie die Lösungen/Optimierungen um: Sie nehmen die geplanten Anpassungen in der Umgebung vor. Sie testen in regelmässigen Abständen, ob die Verfügbarkeit der Systeme und Daten den definierten Anforderungen entsprechen.";plattform
f8;Backup- und Archivierungskonzepte für Daten erstellen und umsetzen;143, 169, 346, 231;190, 109;"f8.1: Sie definieren in Absprache mit Stakeholdern die zu sichernden oder zu archivierenden Da-ten. (K4)
f8.2: Sie erstellen ein vollständiges Backup- und Archivierungskonzept mit allen relevanten An-gaben und unter Berücksichtigung der rechtlichen Vorgaben. (K4)
f8.3: Sie erstellen ein vollständiges Desaster-Recovery-Konzept mit allen relevanten Angaben und unter Berücksichtigung der betrieblichen Vorgaben. (K4)
f8.4: Sie testen in regelmässigen Abständen die Wiederherstellbarkeit von Daten/Services und dokumentieren die Ergebnisse nachvollziehbar. (K3)";"Informatikerinnen und Informatiker erstellen Backup- und Archivierungskonzepte für Daten und setzen diese um. Sie stellen damit sicher, dass Daten nachhaltig verfügbar sind:
Sie legen gemeinsam mit den Stakeholdern fest, welche Daten (z.B. Benutzer-, Konfiguration-, System-, Logdaten) gesichert und archiviert werden sollen. Danach erstellen sie ein Backup (inkl. Recovery- und Desaster-Recovery-Konzept) und/oder Archivierungskonzept. Dabei nehmen sie eine gesamtheitliche Betrachtung ein: Sie berücksichtigen den Siche-rungszyklus, Datenvorhaltefristen sowie Anforderungen an die Compliance. Weiter definieren sie relevante Aspekte, wie z.B. Periodizität, Grösse, Art des Mediums, Berechtigungen und Zugriffe. Ausserdem berücksichtigen sie rechtliche Vorgaben bezüglich Datenschutzes (z.B. DSVGO).
In regelmässigen Abständen überprüfen sie, ob die Wiederherstellung der Daten und Services einwandfrei funktioniert. Sie dokumentieren die Test-Ergebnisse nachvollziehbar.";plattform
;;;;;;
;;;;;;
